membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH14574	BCM_m84101_250311_032928_s4_A11...PacBio
BCM_Fam_BCM17337	BCM_m84101_250312_072316_s1_A11...PacBio
BCM_Fam_BCM17337	BCM_m84101_250312_112152_s3_A11...PacBio
BCM_Fam_BH14736	BCM_m84101_250315_190010_s1_A11...PacBio
BCM_Fam_BH14736	BCM_m84101_250315_205919_s2_A11...PacBio
BCM_Fam_BH14576	BCM_m84101_250316_005745_s4_A11...PacBio
BCM_Fam_BH15776	BCM_m84101_250317_133417_s1_A11...PacBio
BCM_Fam_BH15776	BCM_m84101_250317_153334_s2_A11...PacBio
BCM_Fam_BH15932	BCM_m84101_250317_173250_s3_A11...PacBio
BCM_Fam_BH16154	BCM_m84101_250317_193218_s4_A11...PacBio
BCM_Fam_BH16321	BCM_m84101_250320_091733_s1_A11...PacBio
BCM_Fam_BH17192	BCM_m84101_250320_111650_s2_A11...PacBio
BCM_Fam_BH17199	BCM_m84101_250320_131608_s3_A11...PacBio
BCM_Fam_BH15150	BCM_m84101_250320_151522_s4_A11...PacBio
BCM_Fam_BH15150	BCM_m84101_250321_190907_s1_A11...PacBio
BCM_Fam_BH15293	BCM_m84101_250322_010702_s4_A11...PacBio
BCM_Fam_BH14798	BCM_m84101_250406_011138_s1_A11...PacBio
BCM_Fam_BH17199	BCM_m84101_250407_150537_s3_A11...PacBio
BCM_Fam_BH15148	BCM_m84101_250407_170451_s4_A11...PacBio
BCM_Fam_BH15148	BCM_m84101_250407_190506_s1_A11...PacBio
BCM_Fam_BH15148	BCM_m84101_250407_210415_s2_A11...PacBio
BCM_Fam_BH15929	BCM_m84101_250409_005711_s3_A11...PacBio
BCM_Fam_BH17196	BCM_m84101_250409_025631_s4_A11...PacBio
BCM_Fam_BH17196	BCM_m84101_250409_045632_s1_A11...PacBio
BCM_Fam_BH17199	BCM_m84101_250409_065547_s2_A11...PacBio
BCM_Fam_BH14566	BCM_m84101_250410_104857_s3_A11...PacBio
BCM_Fam_BH14797	BCM_m84101_250410_124815_s4_A11...PacBio
BCM_Fam_BH14797	BCM_m84101_250410_144812_s1_A11...PacBio
BCM_Fam_BH14797	BCM_m84101_250410_164723_s2_A11...PacBio
BCM_Fam_BH16476	BCM_m84101_250411_204035_s3_A11...PacBio
BCM_Fam_BH16476	BCM_m84101_250411_223950_s4_A11...PacBio
BCM_Fam_BH14798	BCM_m84101_250412_004005_s1_A11...PacBio
BCM_Fam_BH16476	BCM_m84101_250412_023921_s2_A11...PacBio
BCM_Fam_BH14551	BCM_m84101_250413_063210_s3_A11...PacBio
BCM_Fam_BH15644	BCM_m84101_250413_103145_s1_A11...PacBio
BCM_Fam_BH15644	BCM_m84101_250413_123055_s2_A11...PacBio
BCM_Fam_BH15644	BCM_m84101_250414_174243_s3_A11...PacBio
BCM_Fam_BH15644	BCM_m84101_250414_194147_s4_A11...PacBio
BCM_Fam_BH15694	BCM_m84101_250414_214057_s1_A11...PacBio
BCM_Fam_BH15694	BCM_m84101_250414_234007_s2_A11...PacBio
BCM_Fam_BH15694	BCM_m84101_250416_033410_s3_A11...PacBio
BCM_Fam_BH15643	BCM_m84101_250416_053319_s4_A11...PacBio
BCM_Fam_BH15643	BCM_m84101_250416_073230_s1_A11...PacBio
BCM_Fam_BH14589	BCM_m84101_250420_090902_s3_A11...PacBio
BCM_Fam_BH13237	BCM_m84101_250420_131017_s1_A11...PacBio
BCM_Fam_BH13237	BCM_m84101_250420_150927_s2_A11...PacBio
BCM_Fam_BH13700	BCM_m84101_250421_230157_s1_A11...PacBio
BCM_Fam_BH13700	BCM_m84101_250422_010117_s2_A11...PacBio
BCM_Fam_BH14464	BCM_m84101_250424_184514_s1_A11...PacBio
BCM_Fam_BH14464	BCM_m84101_250424_204427_s2_A11...PacBio
BCM_Fam_BH14464	BCM_m84101_250426_043650_s1_A11...PacBio
BCM_Fam_BH14468	BCM_m84101_250426_063607_s2_A11...PacBio
BCM_Fam_BH13956	BCM_m84101_250427_102728_s3_A11...PacBio
BCM_Fam_BH13956	BCM_m84101_250427_122907_s4_A11...PacBio
BCM_Fam_BH13956	BCM_m84101_250427_142826_s1_A11...PacBio
BCM_Fam_BH14573	BCM_m84101_250429_180607_s4_A11...PacBio
